deltaf,accident_year,dev,mean,std,min,max,q25,median,q75
Outstanding,2024,1,0.040862004,0.0025211096298337382,0.0355942,0.0471728,0.038878,0.04125695,0.042510425000000004
Outstanding,2024,2,0.061721118,0.0043433081391948195,0.0527805,0.072564,0.05876145,0.06113895,0.06448904999999999
Outstanding,2024,3,0.0705384,0.005288271827699137,0.0597723,0.0857453,0.06676325,0.0706615,0.0732704
Outstanding,2024,4,0.07327945599999999,0.0052529099081072145,0.0611244,0.0864002,0.06938665,0.0734544,0.07738057500000001
Outstanding,2024,5,0.07122936099999999,0.004573366063910065,0.0590751,0.0815132,0.068400375,0.07115025,0.07451005
Outstanding,2024,6,0.068663555,0.00479310886932553,0.0559858,0.0791003,0.064852175,0.0688672,0.07195385000000001
Outstanding,2024,7,0.064471529,0.003894159002146546,0.0554979,0.0755811,0.0621898,0.0643564,0.066386125
Outstanding,2024,8,0.058855965,0.0038432684931946704,0.0445613,0.069113,0.056212675000000004,0.05870675,0.060863875
Outstanding,2024,9,0.053961800000000004,0.003366973364308011,0.0468797,0.0621892,0.05167245,0.0539892,0.0561157
Outstanding,2024,10,0.049221553,0.0035802578224540522,0.0424178,0.0604193,0.04701005,0.04860465,0.050615049999999995
Outstanding,2024,11,0.045433497999999996,0.0028515505935316513,0.0381176,0.052839,0.043274824999999996,0.04556475,0.047537750000000004
Outstanding,2024,12,0.041265192,0.002444120502521192,0.0359219,0.0459718,0.039360325,0.0412974,0.043495925000000005
Outstanding,2024,13,0.037337195,0.002476539033188057,0.0315186,0.043672,0.035625725,0.036928749999999996,0.038733525
Outstanding,2024,14,0.03400327,0.0022292633563171,0.0291334,0.0396367,0.0325288,0.03403705,0.035353775000000004
Outstanding,2024,15,0.030513202000000003,0.002122084640443939,0.0260894,0.0351776,0.0292397,0.0302463,0.0320996
Outstanding,2024,16,0.027885497,0.0018263668235689486,0.0243212,0.0331404,0.026496175,0.02775565,0.02885605
Outstanding,2024,17,0.024976599999999998,0.0015326947194501269,0.0219034,0.0285862,0.023967549999999997,0.02491985,0.0259554
Outstanding,2024,18,0.022789519,0.0014476721914431388,0.0198788,0.0279683,0.0218389,0.02279475,0.023631700000000002
Outstanding,2024,19,0.020576683,0.001439423231297519,0.0173201,0.0244249,0.019636175,0.02068275,0.021534075
Outstanding,2024,20,0.018690592,0.001168345036441623,0.0160421,0.0215906,0.017975025000000002,0.01865375,0.019319875
Outstanding,2024,21,0.016842962,0.001156221034299919,0.0145906,0.0192116,0.01607245,0.01679775,0.017384675
Outstanding,2024,22,0.015174852,0.0010630215296127366,0.012759,0.0178884,0.014382975,0.01506,0.015923075000000002
Outstanding,2024,23,0.013914036000000001,0.0010984168868315742,0.0117727,0.0164477,0.013127325,0.01377345,0.014647175
Outstanding,2024,24,0.012620013000000001,0.0010513626288317654,0.0105002,0.0155531,0.0119573,0.012507899999999999,0.01317105
Outstanding,2024,25,0.0114160255,0.0008966517937533842,0.00925424,0.0142885,0.010851949999999999,0.01139985,0.011983325
Outstanding,2024,26,0.010204015099999998,0.0008737362708431297,0.00828602,0.0129183,0.009588985,0.010154,0.010813525
Outstanding,2024,27,0.0093153248,0.000841770164804209,0.00774631,0.0111915,0.008664512499999999,0.00923357,0.0098142225
Outstanding,2024,28,0.0084173497,0.0007720391987372001,0.00659187,0.0109723,0.0078689975,0.0084301,0.0088488775
Outstanding,2024,29,0.0076551621000000005,0.0006826453808401652,0.00570544,0.00932245,0.00725966,0.007703804999999999,0.008040654999999999
Outstanding,2024,30,0.0069959717,0.0006736012240806421,0.00565792,0.00874551,0.00653086,0.00703837,0.0074102625000000005
Outstanding,2024,31,0.0063059605,0.0006567772529700914,0.00468235,0.00809315,0.005828645,0.00623171,0.0067932375
Outstanding,2024,32,0.005653295900000001,0.0005862838192663393,0.00430936,0.00715043,0.0052596175,0.005676525,0.0061160825
Outstanding,2024,33,0.005133273099999999,0.000573093910575551,0.00385059,0.0063698,0.0047046025,0.005082865,0.0054687
Outstanding,2024,34,0.0046805512,0.0005380472673695109,0.00350258,0.00580981,0.004313415,0.004666115,0.0050584025
Outstanding,2024,35,0.004219428,0.0004953036254274909,0.00321786,0.00544511,0.003837375,0.004187235,0.0045638825
Outstanding,2024,36,0.0038356146000000004,0.00048114373434750095,0.00274497,0.0051635,0.0035299299999999997,0.0037671700000000002,0.00409377
Outstanding,2024,37,0.0034533952000000002,0.0003956638261200531,0.00226998,0.00431721,0.003177735,0.003435525,0.0037349700000000002
Outstanding,2024,38,0.0031480413,0.000410411081959616,0.00214397,0.00443714,0.0028248625,0.0031300499999999997,0.0033994925000000002
Outstanding,2024,39,0.0028592895000000003,0.000386439127121536,0.00195149,0.00363784,0.0025679525,0.0028052800000000003,0.00319025
Outstanding,2024,40,0.0025768542,0.00035281638879791844,0.00185879,0.00353874,0.0023152249999999997,0.0025399050000000003,0.002854525
Outstanding,2024,41,0.0023458128,0.0003253566872674613,0.00165899,0.00321787,0.0020898825,0.00230854,0.0025441625
Outstanding,2024,42,0.0021176149999999998,0.00031406830351329184,0.00139817,0.00286416,0.0018856425,0.002108305,0.00234923
Outstanding,2024,43,0.0019144671,0.00029285754382350006,0.00121074,0.00259078,0.00170427,0.0018900800000000001,0.0020858075
Outstanding,2024,44,0.0017270426,0.0002576802463967129,0.00122138,0.00234716,0.0015318425,0.0016937150000000002,0.00189862
Outstanding,2024,45,0.0015847343999999999,0.00025452400262006194,0.00104529,0.00213132,0.0013824375,0.001569265,0.001757275
Outstanding,2024,46,0.0014206991099999999,0.00022825819238690042,0.000910985,0.00200838,0.00124048,0.001395175,0.00157767
Outstanding,2024,47,0.00128779812,0.0002073764658542225,0.000820774,0.00188715,0.00116089,0.0012741,0.001407055
Outstanding,2024,48,0.00117676805,0.00020103194034510203,0.000738224,0.00174509,0.001021685,0.001163365,0.001295025
Outstanding,2025,1,0.036823856999999995,0.002678266197127868,0.0312332,0.0422746,0.034909474999999995,0.036588499999999996,0.038966025
Outstanding,2025,2,0.055788868000000005,0.0036365658623887043,0.0474224,0.0663279,0.05362315,0.05540955,0.05816935
Outstanding,2025,3,0.064749002,0.00454516334170998,0.0570161,0.0804837,0.061450725000000005,0.0643451,0.066477325
Outstanding,2025,4,0.066556152,0.004491007923640079,0.0568509,0.0832223,0.0640853,0.06677705,0.06901204999999999
Outstanding,2025,5,0.065467887,0.00455484871920899,0.0546407,0.0760762,0.061949699999999996,0.0648794,0.069385975
Outstanding,2025,6,0.062355596,0.004104913838757179,0.0527634,0.0712791,0.059704775,0.062371499999999996,0.06521815
Outstanding,2025,7,0.057812101,0.004088930932036965,0.0470826,0.0681598,0.055247575,0.05770315,0.060822525
Outstanding,2025,8,0.053011496,0.003641069151755102,0.0439666,0.0630826,0.0508039,0.0529793,0.05492905
Outstanding,2025,9,0.048767204,0.0032504341153710044,0.0413601,0.0557387,0.046558274999999996,0.0484896,0.05116575
Outstanding,2025,10,0.045149228,0.0030463450370341555,0.0377392,0.0526321,0.043131075000000005,0.0455039,0.047311275
Outstanding,2025,11,0.040524535,0.0023137010045945045,0.035896,0.0469042,0.039070175,0.040320049999999996,0.042214350000000005
Outstanding,2025,12,0.037405795,0.0023982224950644874,0.0318695,0.0445418,0.035670625,0.0374115,0.039135
Outstanding,2025,13,0.033915758,0.0019176792117630843,0.028213,0.0400205,0.032704675,0.03409265,0.035167525
Outstanding,2025,14,0.030540563,0.001911072283842691,0.0260389,0.0347871,0.029197425,0.0305142,0.031756099999999995
Outstanding,2025,15,0.027982415,0.0018524612746875903,0.0230585,0.0331701,0.026705225,0.0278891,0.029144174999999998
Outstanding,2025,16,0.025310052,0.001393036684854169,0.0220782,0.0289782,0.024290649999999997,0.02518395,0.026304849999999998
Outstanding,2025,17,0.022824338000000003,0.0015382730244444037,0.019513,0.0279582,0.021665175000000002,0.022811150000000002,0.023781399999999998
Outstanding,2025,18,0.020587704,0.0013425709064223453,0.0175325,0.023733,0.019563825,0.02059465,0.021545025
Outstanding,2025,19,0.018612098,0.0012814961052905105,0.0159966,0.0214171,0.017507025,0.0187747,0.019483225
Outstanding,2025,20,0.017048084,0.001287537569421066,0.0141279,0.0196417,0.016024675000000002,0.01706995,0.0179979
Outstanding,2025,21,0.015417373000000002,0.0011628792933403701,0.0130197,0.0188063,0.014655875,0.01531135,0.016149475
Outstanding,2025,22,0.014015451000000002,0.0009789332957223062,0.0115858,0.0164786,0.013438974999999999,0.01400885,0.0146859
Outstanding,2025,23,0.012487963,0.0010656489660860193,0.010167,0.0146763,0.01172665,0.01232585,0.013172375
Outstanding,2025,24,0.0114517022,0.0009136405507279681,0.00954486,0.0135321,0.010774474999999999,0.011400799999999999,0.012058575
Outstanding,2025,25,0.010288618000000001,0.0008721502198137727,0.00830854,0.0123136,0.0096869625,0.010338199999999999,0.01082745
Outstanding,2025,26,0.0093638022,0.0007952967932976056,0.00746855,0.0111851,0.008818415,0.00944527,0.0098219275
Outstanding,2025,27,0.0085121117,0.0007042340790110308,0.0070405,0.00996393,0.0080265975,0.008482835000000001,0.009012207500000001
Outstanding,2025,28,0.007646701099999999,0.0006202450525297776,0.00614955,0.00924064,0.0072068125,0.007617634999999999,0.0080667725
Outstanding,2025,29,0.0069399129,0.0006793300634311745,0.00486031,0.0083512,0.0064604175,0.006977475,0.007489855
Outstanding,2025,30,0.0063154786,0.0006319821567597195,0.00466285,0.00777717,0.0058811175,0.006314355,0.0067438975
Outstanding,2025,31,0.0057153245,0.0006197716337285007,0.00422354,0.00781049,0.00531891,0.005716225,0.00604944
Outstanding,2025,32,0.005199831700000001,0.0005266630543337088,0.00382438,0.00647633,0.004828225,0.0052533200000000006,0.00549599
Outstanding,2025,33,0.0046610879,0.0004881058305601957,0.00356382,0.00603273,0.0044074825000000005,0.00463347,0.00490392
Outstanding,2025,34,0.0042122697,0.000462467843449857,0.00328869,0.00528149,0.0038649625,0.00419111,0.0045084375
